Datased name: Pilot top-down CO2 Budget constrained by the v10 OCO-2 MIP Version 1.0
Data description paper title: National CO2 Budgets (2015-2020) inferred from atmospheric CO2 observations in support of the Global Stocktake
Byrne et al. 2022
contact: Brendan Byrne - email: brendan.k.byrne@jpl.nasa.gov
Created 25 May 2022
Version 1.0
-- Description ---
This is a pilot CO2 Budget for countries over 2015-2020. Estimates of carbon fluxes are obtained by combining top-down constraints on net carbon exchange from atmospheric CO2 and bottom-up process specific fluxes of carbon (fossil fuel emissions and lateral fluxes associated with crop trade and wood trade and river export) with specific data sources listed below.
-- Data sources ---
Net Carbon Exchange (NCE): version 10 of the Orbiting Carbon Observatory Model Intercomparison Project (OCO-2 MIP) [https://gml.noaa.gov/ccgg/OCO2_v10mip/]
Fossil Fuel and cement production emissions (FF):  Open-source Data Inventory for Anthropogenic CO2 (ODIAC) emission data product [Oda et al. 2018; https://doi.org/10.5194/essd-10-87-2018] with day-of-week and diurnal variations from Nassar et al. [2013; https://doi.org/10.1029/2012JD018196]
Crop and Wood lateral fluxes (F wood trade + F crop trade): Following the approaches of Deng et al. [2022; https://doi.org/10.5194/essd-14-1639-2022] and Ciais et al. [2020; https://doi.org/10.1093/nsr/nwaa145] which utilizes crop and wood trade data compiled by Food and Agriculture Organization of the United Nations [FAO; http://www.fao.org/faostat/en/#data]
River lateral fluxes (F rivers export): Combine modeled estiated from Dynamic Land Ecosystem Model (DLEM) [https://chess.auburn.edu/models/] and Deng et al. [2022; https://doi.org/10.5194/essd-14-1639-2022]
-- Variables ---
Alpha 3 Code - three-letter country codes defined in International Organization for Standardization (ISO) 3166-1 -OR- Name of supranational Region
Year - Gregorian calendar year / mean indicates 2015-2020 mean value
IS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP IS ensemble; Positive flux = decrease in land carbon
IS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP IS ensemble
LNLG dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLG ensemble; Positive flux = decrease in land carbon
LNLG dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGIS ensemble; Positive flux = decrease in land carbon
LNLGIS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGOGIS ensemble; Positive flux = decrease in land carbon
LNLGOGIS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
IS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP IS ensemble
IS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP IS ensemble
LNLG NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLG NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGIS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
LNLGOGIS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
IS NCE - net carbon exchange estimated from the OCO-2 v10 MIP IS ensemble
IS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP IS ensemble
LNLG NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLG NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGIS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
LNLGOGIS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
River - F rivers export -  Lateral flux of carbon by rivers
River unc - F rivers export unc -  Uncertainty in lateral flux of carbon by rivers
Wood+Crop - F wood trade + F crop trade -  Lateral flux of carbon in wood and crops
Wood+Crop unc - F wood trade unc + F crop trade unc - Uncertainty in lateral flux of carbon in wood and crops
FF - Fossil Fuel and cement production emissions; Positive flux from land to atmosphere
FF unc - Uncertainty in Fossil Fuel and cement production emissions
Z-statistic - statistical difference between LNLG and IS NCE defined as (median(NCE_LNLG)-median(NCE_IS))/std(NCE_LNLG-NCE_IS)
Fractional Uncertainty Reduction (FUR) for the IS experiment defined as 1 - Posterior_NCE_std_IS/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLG experiment defined as 1 - Posterior_NCE_std_LNLG/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLGIS experiment defined as 1 - Posterior_NCE_std_LNLGIS/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLGOGIS experiment defined as 1 - Posterior_NCE_std_LNLGOGIS/Prior_NCE_std
----------------
Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
COL,2019,2.72960e+02,2.50725e+02,-3.81779e+01,3.23306e+02,1.95438e+01,3.31567e+02,-4.56487e+02,7.09914e+02,1.93971e+02,2.50725e+02,-1.17167e+02,3.23306e+02,-5.94448e+01,3.31567e+02,-5.35475e+02,7.09914e+02,3.77573e+02,2.50576e+02,6.64346e+01,3.23191e+02,1.24156e+02,3.31455e+02,-3.51874e+02,7.09862e+02,-8.94174e+01,4.88359e+01,1.04288e+01,3.12864e+00,1.83601e+02,8.62617e+00,-0.87,0.2,0.6,0.6,0.68
COL,2020,2.36058e+02,2.40313e+02,1.72329e+02,2.83142e+02,1.94578e+02,3.08955e+02,-3.17687e+02,4.71333e+02,1.56719e+02,2.40313e+02,9.29894e+01,2.83142e+02,1.15239e+02,3.08955e+02,-3.97026e+02,4.71333e+02,3.26901e+02,2.40158e+02,2.63171e+02,2.83010e+02,2.85420e+02,3.08834e+02,-2.26845e+02,4.71254e+02,-8.97679e+01,4.81349e+01,1.04288e+01,3.12864e+00,1.70181e+02,8.62617e+00,-0.31,0.2,0.6,0.6,0.68
COL,mean,1.82371e+02,1.80290e+02,-6.05581e+01,3.70943e+02,-1.65200e+01,3.44930e+02,-3.96913e+02,5.60796e+02,1.03032e+02,1.73717e+02,-1.39897e+02,3.67793e+02,-9.58591e+01,3.41540e+02,-4.76252e+02,5.58718e+02,2.65279e+02,1.73480e+02,2.23500e+01,3.67681e+02,6.63881e+01,3.41420e+02,-3.14005e+02,5.58644e+02,-8.97679e+01,4.81349e+01,1.04288e+01,3.12864e+00,1.62247e+02,9.06564e+00,-0.98,0.2,0.6,0.6,0.68
COM,2015,8.70109e-02,5.42882e-01,8.66791e-02,6.50652e-01,2.49555e-01,6.43610e-01,-2.01788e-03,5.01135e-01,8.70051e-02,5.42882e-01,8.66732e-02,6.50652e-01,2.49549e-01,6.43610e-01,-2.02377e-03,5.01135e-01,2.09948e-01,5.42615e-01,2.09616e-01,6.50429e-01,3.72492e-01,6.43384e-01,1.20919e-01,5.00846e-01,-5.89744e-06,1.17949e-05,0.00000e+00,0.00000e+00,1.22943e-01,1.70353e-02,-0.0,0.01,0.03,-0.02,0.06
COM,2016,-5.30882e-02,4.19642e-01,4.19835e-01,3.86545e-01,2.67854e-01,4.57140e-01,3.71873e-01,4.80394e-01,-5.30957e-02,4.19642e-01,4.19828e-01,3.86545e-01,2.67847e-01,4.57140e-01,3.71865e-01,4.80394e-01,7.31033e-02,4.19148e-01,5.46027e-01,3.86008e-01,3.94046e-01,4.56686e-01,4.98064e-01,4.79962e-01,-7.43821e-06,1.48764e-05,0.00000e+00,0.00000e+00,1.26199e-01,2.03683e-02,0.84,0.01,0.03,-0.02,0.06
COM,2017,7.56557e-02,5.19706e-01,3.02387e-01,4.13680e-01,2.41659e-01,4.25846e-01,2.97348e-01,4.81260e-01,7.56482e-02,5.19706e-01,3.02380e-01,4.13680e-01,2.41651e-01,4.25846e-01,2.97340e-01,4.81260e-01,2.07829e-01,5.19149e-01,4.34561e-01,4.12979e-01,3.73832e-01,4.25166e-01,4.29521e-01,4.80658e-01,-7.50905e-06,1.50181e-05,0.00000e+00,0.00000e+00,1.32181e-01,2.40717e-02,0.53,0.01,0.03,-0.02,0.06
COM,2018,8.44615e-02,3.91747e-01,1.39898e-01,3.14035e-01,8.40649e-02,4.18228e-01,8.64458e-02,6.02853e-01,8.44587e-02,3.91747e-01,1.39895e-01,3.14035e-01,8.40621e-02,4.18228e-01,8.64430e-02,6.02853e-01,2.20077e-01,3.91006e-01,2.75513e-01,3.13111e-01,2.19681e-01,4.17535e-01,2.22062e-01,6.02372e-01,-2.79818e-06,5.59637e-06,0.00000e+00,0.00000e+00,1.35619e-01,2.40717e-02,0.15,0.01,0.03,-0.02,0.06
COM,2019,8.73795e-02,3.38054e-01,1.23254e-01,3.08900e-01,9.49439e-02,3.57109e-01,8.82358e-02,5.07911e-01,8.73739e-02,3.38054e-01,1.23248e-01,3.08900e-01,9.49383e-02,3.57109e-01,8.82303e-02,5.07911e-01,2.25851e-01,3.37625e-01,2.61725e-01,3.08430e-01,2.33415e-01,3.56703e-01,2.26707e-01,5.07626e-01,-5.54324e-06,1.10865e-05,0.00000e+00,0.00000e+00,1.38477e-01,1.70353e-02,0.2,0.01,0.03,-0.02,0.06
COM,2020,1.03889e-01,3.06409e-01,3.14495e-01,4.28497e-01,2.08054e-01,5.03383e-01,1.37635e-01,6.28512e-01,1.03883e-01,3.06409e-01,3.14489e-01,4.28497e-01,2.08048e-01,5.03383e-01,1.37630e-01,6.28512e-01,2.17841e-01,3.05936e-01,4.28447e-01,4.28158e-01,3.22006e-01,5.03095e-01,2.51588e-01,6.28281e-01,-5.83722e-06,1.16744e-05,0.00000e+00,0.00000e+00,1.13958e-01,1.70353e-02,0.36,0.01,0.03,-0.02,0.06
COM,mean,-4.05430e-02,3.53507e-01,2.56740e-01,2.22234e-01,1.70900e-01,2.69552e-01,-4.69924e-02,3.05131e-01,-4.05488e-02,3.53507e-01,2.56735e-01,2.22234e-01,1.70894e-01,2.69552e-01,-4.69983e-02,3.05131e-01,8.76805e-02,3.52944e-01,3.84964e-01,2.21338e-01,2.99124e-01,2.68814e-01,8.12311e-02,3.04479e-01,-5.83722e-06,1.16744e-05,0.00000e+00,0.00000e+00,1.28229e-01,1.99363e-02,0.76,0.01,0.03,-0.02,0.06
CPV,2015,-6.36744e-01,1.33677e+00,-5.23291e-01,1.37515e+00,-8.44572e-01,9.11944e-01,2.66977e-01,2.36568e+00,-3.83271e-01,1.33677e+00,-2.69818e-01,1.37515e+00,-5.91099e-01,9.11944e-01,5.20449e-01,2.36568e+00,5.98144e-01,1.33585e+00,7.11596e-01,1.37425e+00,3.90315e-01,9.10593e-01,1.50186e+00,2.36516e+00,-1.93284e-05,3.86567e-05,2.53492e-01,7.60476e-02,9.81415e-01,4.96247e-02,0.13,0.02,0.05,0.03,0.06
CPV,2016,-9.15196e-01,1.26178e+00,-4.30192e-01,1.25869e+00,-1.56991e-01,1.05460e+00,2.41044e+00,2.33266e+00,-6.61729e-01,1.26178e+00,-1.76724e-01,1.25869e+00,9.64771e-02,1.05460e+00,2.66391e+00,2.33266e+00,3.46556e-01,1.26061e+00,8.31561e-01,1.25752e+00,1.10476e+00,1.05320e+00,3.67219e+00,2.33203e+00,-2.43781e-05,4.87563e-05,2.53492e-01,7.60476e-02,1.00828e+00,5.44390e-02,1.27,0.02,0.05,0.03,0.06
CPV,2017,1.33502e-01,1.00259e+00,-5.05228e-01,1.18968e+00,-5.38347e-01,1.03764e+00,8.88668e-01,1.64618e+00,3.86969e-01,1.00259e+00,-2.51761e-01,1.18968e+00,-2.84880e-01,1.03764e+00,1.14214e+00,1.64618e+00,1.44243e+00,1.00088e+00,8.03698e-01,1.18824e+00,7.70579e-01,1.03599e+00,2.19759e+00,1.64514e+00,-2.46103e-05,4.92206e-05,2.53492e-01,7.60476e-02,1.05546e+00,5.85127e-02,-0.93,0.02,0.05,0.03,0.06
CPV,2018,-5.81570e-01,8.69398e-01,-8.05669e-01,9.08058e-01,-5.44088e-01,9.18621e-01,1.03794e+00,2.22944e+00,-3.28088e-01,8.69398e-01,-5.52186e-01,9.08058e-01,-2.90605e-01,9.18621e-01,1.29142e+00,2.22944e+00,7.49228e-01,8.67427e-01,5.25129e-01,9.06171e-01,7.86710e-01,9.16756e-01,2.36874e+00,2.22867e+00,-9.17082e-06,1.83416e-05,2.53492e-01,7.60476e-02,1.07732e+00,5.85127e-02,-0.46,0.02,0.05,0.03,0.06
CPV,2019,-1.61900e-01,8.62488e-01,-4.90094e-01,9.57094e-01,-3.91627e-01,8.28289e-01,1.68475e+00,1.73773e+00,9.15737e-02,8.62488e-01,-2.36620e-01,9.57094e-01,-1.38153e-01,8.28289e-01,1.93822e+00,1.73773e+00,1.18556e+00,8.61059e-01,8.57366e-01,9.55807e-01,9.55832e-01,8.26801e-01,3.03221e+00,1.73702e+00,-1.81675e-05,3.63350e-05,2.53492e-01,7.60476e-02,1.09399e+00,4.96247e-02,-0.57,0.02,0.05,0.03,0.06
CPV,2020,-4.21045e-01,8.13145e-01,-3.45365e-01,1.47668e+00,-1.61820e-01,1.50527e+00,1.78641e+00,1.53608e+00,-1.67572e-01,8.13145e-01,-9.18925e-02,1.47668e+00,9.16530e-02,1.50527e+00,2.03988e+00,1.53608e+00,6.34596e-01,8.11630e-01,7.10276e-01,1.47585e+00,8.93821e-01,1.50445e+00,2.84205e+00,1.53528e+00,-1.91310e-05,3.82621e-05,2.53492e-01,7.60476e-02,8.02168e-01,4.96247e-02,0.15,0.02,0.05,0.03,0.06
CPV,mean,-2.71798e-01,1.17509e+00,-3.33964e-01,1.26964e+00,-4.24575e-01,1.15775e+00,1.41248e+00,1.38005e+00,-1.83248e-02,1.17263e+00,-8.04910e-02,1.26736e+00,-1.71103e-01,1.15525e+00,1.66596e+00,1.37795e+00,9.84780e-01,1.17141e+00,9.22614e-01,1.26624e+00,8.32002e-01,1.15402e+00,2.66906e+00,1.37692e+00,-1.91310e-05,3.82621e-05,2.53492e-01,7.60476e-02,1.00310e+00,5.33897e-02,-0.12,0.02,0.05,0.03,0.06
CRI,2015,4.18686e+00,1.05300e+01,3.14780e-01,8.18454e+00,4.61532e-01,1.60809e+01,-7.23270e-01,2.80605e+01,-2.35507e+00,1.05300e+01,-6.22716e+00,8.18454e+00,-6.08040e+00,1.60809e+01,-7.26521e+00,2.80605e+01,1.08332e+01,1.05035e+01,6.96115e+00,8.15038e+00,7.10790e+00,1.60635e+01,5.92310e+00,2.80506e+01,-5.99607e+00,9.62704e+00,-5.45865e-01,-1.63760e-01,1.31883e+01,7.46962e-01,-0.42,0.02,0.11,0.06,0.2
CRI,2016,6.29788e+00,9.71142e+00,9.09247e+00,1.15752e+01,7.69348e+00,1.26053e+01,-3.49611e+00,2.04928e+01,-1.91189e-01,9.71142e+00,2.60339e+00,1.15752e+01,1.20441e+00,1.26053e+01,-9.98519e+00,2.04928e+01,1.29213e+01,9.67848e+00,1.57159e+01,1.15476e+01,1.43169e+01,1.25800e+01,3.12730e+00,2.04773e+01,-5.94321e+00,9.73276e+00,-5.45865e-01,-1.63760e-01,1.31125e+01,7.99179e-01,0.17,0.02,0.11,0.06,0.2
CRI,2017,5.26227e+00,1.00154e+01,8.48377e+00,1.87706e+01,1.15052e+00,9.60869e+00,-1.06023e+01,2.00516e+01,-1.39514e+00,1.00154e+01,1.82636e+00,1.87706e+01,-5.50689e+00,9.60869e+00,-1.72597e+01,2.00516e+01,1.16923e+01,9.98032e+00,1.49138e+01,1.87519e+01,7.58052e+00,9.57207e+00,-4.17225e+00,2.00341e+01,-6.11155e+00,9.39609e+00,-5.45865e-01,-1.63760e-01,1.30874e+01,8.38064e-01,0.17,0.02,0.11,0.06,0.2
CRI,2018,1.41301e+00,7.40701e+00,3.34256e+00,1.42146e+01,3.62956e+00,8.01500e+00,-8.59604e+00,2.66467e+01,-5.23604e+00,7.40701e+00,-3.30650e+00,1.42146e+01,-3.01950e+00,8.01500e+00,-1.52451e+01,2.66467e+01,8.13002e+00,7.35944e+00,1.00596e+01,1.41899e+01,1.03466e+01,7.97106e+00,-1.87902e+00,2.66335e+01,-6.10319e+00,9.41280e+00,-5.45865e-01,-1.63760e-01,1.33661e+01,8.38064e-01,0.11,0.02,0.11,0.06,0.2
CRI,2019,6.35929e+00,8.78863e+00,7.21839e+00,1.70661e+01,6.41594e+00,2.11891e+01,-8.16783e+00,2.24934e+01,-2.38993e-01,8.78863e+00,6.20106e-01,1.70661e+01,-1.82338e-01,2.11891e+01,-1.47661e+01,2.24934e+01,1.34703e+01,8.75683e+00,1.43294e+01,1.70498e+01,1.35269e+01,2.11759e+01,-1.05687e+00,2.24810e+01,-6.05242e+00,9.51435e+00,-5.45865e-01,-1.63760e-01,1.37092e+01,7.46962e-01,0.04,0.02,0.11,0.06,0.2
CRI,2020,8.17993e+00,1.11074e+01,1.32780e+01,1.66324e+01,9.97939e+00,1.63412e+01,-1.06708e+01,1.98580e+01,1.59278e+00,1.11074e+01,6.69083e+00,1.66324e+01,3.39224e+00,1.63412e+01,-1.72580e+01,1.98580e+01,1.41823e+01,1.10823e+01,1.92803e+01,1.66156e+01,1.59817e+01,1.63242e+01,-4.66847e+00,1.98439e+01,-6.04129e+00,9.53661e+00,-5.45865e-01,-1.63760e-01,1.25895e+01,7.46962e-01,0.26,0.02,0.11,0.06,0.2
CRI,mean,2.94291e+00,1.38211e+01,6.37404e+00,1.69442e+01,5.46440e+00,1.72090e+01,-6.45717e+00,2.23560e+01,-3.64424e+00,1.00025e+01,-2.13116e-01,1.40047e+01,-1.12275e+00,1.43240e+01,-1.30443e+01,2.02192e+01,9.53126e+00,9.97158e+00,1.29624e+01,1.39826e+01,1.20527e+01,1.43024e+01,1.31182e-01,2.02039e+01,-6.04129e+00,9.53661e+00,-5.45865e-01,-1.63760e-01,1.31755e+01,7.86033e-01,0.33,0.02,0.11,0.06,0.2
CUB,2015,2.56783e+01,3.32002e+01,4.37231e+01,6.32881e+01,4.56801e+01,7.43556e+01,5.44357e+01,5.99248e+01,2.51390e+01,3.32002e+01,4.31837e+01,6.32881e+01,4.51408e+01,7.43556e+01,5.38963e+01,5.99248e+01,4.76131e+01,3.31305e+01,6.56579e+01,6.32515e+01,6.76149e+01,7.43245e+01,7.63705e+01,5.98862e+01,-4.08543e+00,3.30883e-01,3.54607e+00,1.06382e+00,2.24742e+01,2.15032e+00,0.41,0.01,-0.02,-0.11,0.03
CUB,2016,1.07652e+00,3.07091e+01,2.35020e+01,1.01666e+02,2.62286e+01,6.73182e+01,2.76800e+01,3.61536e+01,-1.84609e+00,3.07091e+01,2.05794e+01,1.01666e+02,2.33060e+01,6.73182e+01,2.47574e+01,3.61536e+01,2.05426e+01,3.06391e+01,4.29682e+01,1.01645e+02,4.56947e+01,6.72863e+01,4.71461e+01,3.60941e+01,-6.46868e+00,4.43560e+00,3.54607e+00,1.06382e+00,2.23887e+01,2.07244e+00,0.25,0.01,-0.02,-0.11,0.03
CUB,2017,1.34080e+01,3.06539e+01,1.62000e+01,9.65794e+01,2.31153e+01,8.79082e+01,3.78327e+01,8.81963e+01,1.05222e+01,3.06539e+01,1.33142e+01,9.65794e+01,2.02295e+01,8.79082e+01,3.49469e+01,8.81963e+01,3.29221e+01,3.05975e+01,3.57142e+01,9.65615e+01,4.26295e+01,8.78885e+01,5.73469e+01,8.81768e+01,-6.43187e+00,4.36199e+00,3.54607e+00,1.06382e+00,2.24000e+01,1.85809e+00,0.03,0.01,-0.02,-0.11,0.03
CUB,2018,7.50060e+00,3.89902e+01,2.09614e+01,1.12331e+02,1.71141e+01,1.44889e+02,5.96122e+01,6.97375e+01,5.63622e+00,3.89902e+01,1.90970e+01,1.12331e+02,1.52497e+01,1.44889e+02,5.77479e+01,6.97375e+01,2.84975e+01,3.89459e+01,4.19583e+01,1.12316e+02,3.81109e+01,1.44877e+02,8.06091e+01,6.97127e+01,-5.41045e+00,2.31916e+00,3.54607e+00,1.06382e+00,2.28613e+01,1.85809e+00,0.11,0.01,-0.02,-0.11,0.03
CUB,2019,2.53636e+00,1.93972e+01,3.63435e+01,9.12102e+01,2.80095e+01,8.92881e+01,2.73096e+01,1.03707e+02,1.67495e+00,1.93972e+01,3.54821e+01,9.12102e+01,2.71480e+01,8.92881e+01,2.64481e+01,1.03707e+02,2.50937e+01,1.92776e+01,5.89008e+01,9.11848e+01,5.05668e+01,8.92622e+01,4.98669e+01,1.03685e+02,-4.40749e+00,3.13229e-01,3.54607e+00,1.06382e+00,2.34187e+01,2.15032e+00,0.5,0.01,-0.02,-0.11,0.03
CUB,2020,1.57365e+01,1.63441e+01,2.93250e+01,7.68960e+01,3.46748e+01,1.54596e+02,7.65967e+01,9.56333e+01,1.39218e+01,1.63441e+01,2.75103e+01,7.68960e+01,3.28600e+01,1.54596e+02,7.47820e+01,9.56333e+01,3.48096e+01,1.62020e+01,4.83981e+01,7.68659e+01,5.37478e+01,1.54581e+02,9.56697e+01,9.56091e+01,-5.36079e+00,2.35217e+00,3.54607e+00,1.06382e+00,2.08878e+01,2.15032e+00,0.22,0.01,-0.02,-0.11,0.03
CUB,mean,1.35084e+01,2.55443e+01,3.81201e+01,7.99303e+01,3.66289e+01,9.71155e+01,5.32563e+01,8.38252e+01,1.16937e+01,2.54135e+01,3.63053e+01,7.98886e+01,3.48142e+01,9.70812e+01,5.14416e+01,8.37855e+01,3.40988e+01,2.53315e+01,5.87104e+01,7.98625e+01,5.72193e+01,9.70597e+01,7.38467e+01,8.37606e+01,-5.36079e+00,2.35217e+00,3.54607e+00,1.06382e+00,2.24051e+01,2.03993e+00,0.37,0.01,-0.02,-0.11,0.03
CYP,2015,-9.08187e-01,1.24934e+00,-8.01156e-02,6.08471e+00,-9.08187e-01,1.99989e+00,-9.08187e-01,1.26376e+00,-2.97892e-01,1.24934e+00,5.30179e-01,6.08471e+00,-2.97892e-01,1.99989e+00,-2.97892e-01,1.26376e+00,1.06777e+01,1.05665e+00,1.15058e+01,6.04808e+00,1.06777e+01,1.88552e+00,1.06777e+01,1.07366e+00,-4.42675e-01,6.29920e-01,1.05297e+00,3.15891e-01,1.09756e+01,6.66600e-01,0.21,-0.0,0.11,0.04,0.01
CYP,2016,-5.27352e-01,1.97781e+00,2.54110e-01,4.57474e+00,2.54110e-01,3.68429e+00,-6.55907e-01,1.55815e+00,1.82491e-01,1.97781e+00,9.63952e-01,4.57474e+00,9.63952e-01,3.68429e+00,5.39357e-02,1.55815e+00,1.16624e+01,1.84954e+00,1.24438e+01,4.52076e+00,1.24438e+01,3.61705e+00,1.15338e+01,1.39173e+00,-3.43127e-01,4.30825e-01,1.05297e+00,3.15891e-01,1.14799e+01,7.00671e-01,0.38,-0.0,0.11,0.04,0.01
CYP,2017,-7.34514e-01,2.23525e+00,1.24079e-01,1.77448e+00,-2.19282e-01,2.33900e+00,-4.50306e-01,1.95523e+00,-1.85939e-02,2.23525e+00,8.39999e-01,1.77448e+00,4.96637e-01,2.33900e+00,2.65613e-01,1.95523e+00,1.19198e+01,2.11715e+00,1.27784e+01,1.62319e+00,1.24350e+01,2.22640e+00,1.22040e+01,1.81904e+00,-3.37050e-01,4.18671e-01,1.05297e+00,3.15891e-01,1.19384e+01,7.16965e-01,0.55,-0.0,0.11,0.04,0.01
CYP,2018,-1.16243e+00,1.22305e+00,-3.86513e-01,2.58535e+00,-4.61714e-01,2.64068e+00,-8.65769e-01,1.37892e+00,-3.68373e-01,1.22305e+00,4.07547e-01,2.58535e+00,3.32347e-01,2.64068e+00,-7.17078e-02,1.37892e+00,1.18521e+01,9.90870e-01,1.26280e+01,2.48395e+00,1.25528e+01,2.54148e+00,1.21488e+01,1.17787e+00,-2.58909e-01,2.62389e-01,1.05297e+00,3.15891e-01,1.22205e+01,7.16965e-01,0.44,-0.0,0.11,0.04,0.01
CYP,2019,-8.95065e-01,1.48002e+00,-8.95065e-01,1.61731e+00,-1.12526e+00,1.02404e+00,-1.45509e+00,1.46388e+00,-1.98243e-01,1.48002e+00,-1.98243e-01,1.61731e+00,-4.28437e-01,1.02404e+00,-7.58263e-01,1.46388e+00,1.26377e+01,1.32140e+00,1.26377e+01,1.47354e+00,1.24075e+01,7.77375e-01,1.20777e+01,1.30330e+00,-3.56147e-01,4.56865e-01,1.05297e+00,3.15891e-01,1.28360e+01,6.66600e-01,0.0,-0.0,0.11,0.04,0.01
CYP,2020,-9.64751e-01,1.47953e+00,1.14941e-01,3.67683e+00,1.29851e-02,2.06648e+00,-1.98538e-01,2.25121e+00,-2.59363e-01,1.47953e+00,8.20329e-01,3.67683e+00,7.18373e-01,2.06648e+00,5.06850e-01,2.25121e+00,1.14345e+01,1.32085e+00,1.25142e+01,3.61590e+00,1.24123e+01,1.95601e+00,1.22008e+01,2.15025e+00,-3.47582e-01,4.39734e-01,1.05297e+00,3.15891e-01,1.16939e+01,6.66600e-01,0.54,-0.0,0.11,0.04,0.01
CYP,mean,-9.58301e-01,1.89313e+00,-2.39278e-01,2.90843e+00,-5.11816e-01,1.50439e+00,-8.37465e-01,1.24078e+00,-2.52913e-01,1.81406e+00,4.66110e-01,2.85759e+00,1.93572e-01,1.40358e+00,-1.32077e-01,1.11641e+00,1.16045e+01,1.67809e+00,1.23235e+01,2.77327e+00,1.20509e+01,1.22280e+00,1.17253e+01,8.78386e-01,-3.47582e-01,4.39734e-01,1.05297e+00,3.15891e-01,1.18574e+01,6.89067e-01,0.45,-0.0,0.11,0.04,0.01
CZE,2015,-1.88521e+01,2.00013e+01,-1.58731e+01,1.92404e+01,-1.37338e+01,3.04661e+01,-8.74287e+00,2.45555e+01,-2.50041e+01,2.00013e+01,-2.20251e+01,1.92404e+01,-1.98859e+01,3.04661e+01,-1.48949e+01,2.45555e+01,8.58324e+01,1.86007e+01,8.88113e+01,1.77800e+01,9.09506e+01,2.95655e+01,9.59416e+01,2.34288e+01,-2.45341e+00,2.17393e+00,-3.69860e+00,-1.10958e+00,1.10836e+02,7.35286e+00,0.1,0.34,0.29,0.45,0.38
